nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0509599	Hung Lieh Chen	1943	2009	actor,director,producer	tt1562477,tt7705702,tt0059079,tt0080042
nm0510857	Brigitte Lin	1954	\N	actress	tt0109424,tt0103295,tt0109688,tt0089374
nm0512696	Ling Chiang	\N	\N	actress,music_department	tt0193855,tt0072087,tt0068744,tt0069702
nm0514821	Alex Litvak	\N	\N	writer,producer,actor	tt1424381,tt0455782,tt1741202,tt1509767
nm0514906	Chia-Liang Liu	1936	2013	actor,stunts,miscellaneous	tt0080717,tt0108308,tt0111512,tt0084671
nm0514944	Jackson Lou	1962	\N	actor	tt0116704,tt0110200,tt0115475,tt6072398
nm0516343	Lu Tung	\N	\N	writer,actor,assistant_director	tt0094854,tt0099154,tt0081499,tt0074743
nm0516344	Wei Lo	1918	1996	actor,director,producer	tt0068767,tt0076285,tt0067824,tt0070705
nm0516352	Yiu Fai Lo	\N	\N	writer,director,actor	tt0843287,tt0441511,tt0184526,tt5805026
nm0517517	Bob Logan	\N	\N	animation_department,art_department,writer	tt0448694,tt1001526,tt0375568,tt3014284
nm0518821	John Lone	1952	\N	actor,soundtrack	tt0093389,tt0266915,tt0090350,tt0111143
nm0519680	Eric Loomis	1964	\N	actor	tt1626038,tt1371159,tt6857544,tt1764479
nm0519731	Lung Hsiao	\N	\N	writer,director,assistant_director	tt0082179,tt0080179,tt0079609,tt1949242
nm0525961	D. Scott Lumpkin	\N	\N	producer,production_manager,location_management	tt1259528,tt5834854,tt2461150,tt1615160
nm0526714	Dick Wei	1953	\N	actor,stunts,director	tt0092273,tt0100584,tt0182961,tt0091091
nm0530853	Fibe Ma	\N	\N	writer	tt0104558,tt0117786,tt0112455,tt0113326
nm0530871	Kuan-Hua Ma	\N	\N	cinematographer,camera_department,actor	tt0077277,tt0080971,tt0091140,tt0100961
nm0535320	Jack Maeby	\N	\N	writer,music_department,sound_department	tt0108281,tt0110200,tt0363226,tt0085127
nm0538683	Mako	1933	2006	actor,soundtrack,production_designer	tt0082198,tt0213149,tt0087078,tt0060934
nm0542062	Matt Manfredi	1971	\N	writer,producer,director	tt0402022,tt2400463,tt0277615,tt0790736
nm0545861	David Marconi	\N	\N	writer,director,art_department	tt0337978,tt0107084,tt0120660,tt1615160
nm0550301	Mars	1954	\N	actor,stunts,miscellaneous	tt0085127,tt0111512,tt0119013,tt0089374
nm0572963	Karen McLymont	\N	\N	miscellaneous,actress	tt2947284,tt0117786
nm0578128	Greg Mellott	\N	\N	writer,director,producer	tt0283942,tt0117433,tt1205005,tt0116704
nm0581266	Brandon Merrill	\N	\N	actress	tt0184894
nm0583963	Nora Miao	1952	\N	actress,production_manager	tt0068935,tt1756487,tt0067824,tt1196714
nm0587692	Miles Millar	1970	\N	writer,producer,director	tt0279600,tt0316654,tt0859163,tt1464540
nm0588953	Melanie Miller	1972	\N	producer,music_department,miscellaneous	tt1753693,tt4341390,tt7527564,tt0133189
nm0591450	Rob Minkoff	1962	\N	producer,director,animation_department	tt0095776,tt0243585,tt0110357,tt0865556
nm0610786	Mu Chu	1938	2007	actor,director,writer	tt0362241,tt1441874,tt0068000,tt0124836
nm0611315	Anita Mui	1963	2003	actress,music_department,soundtrack	tt0105619,tt0113326,tt0111512,tt0093258
nm0611344	Domonic Muir	1962	2010	writer,actor,visual_effects	tt0090887,tt0114437,tt0163818,tt0110054
nm0614050	Christopher Murphey	\N	\N	writer,producer	tt1155076,tt0258967,tt1587669,tt0762143
nm0618680	Jeffrey Nachmanoff	1967	\N	producer,writer,director	tt0319262,tt1243957,tt2647258,tt0988047
nm0620596	James Nam	\N	\N	actor,director,producer	tt0077277,tt0070800,tt0327415,tt0186102
nm0620699	Nan Chiang	1923	\N	actor,director,writer	tt0477865,tt0477833,tt1160784,tt1382598
